MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
80240	202409	13/09/24	12	914	CIERRE FONDO INVERSION	2	D	0,72			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 13-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	13/09/24	13/09/2024 12:00:00
80240	202409	13/09/24	12	914	CIERRE FONDO INVERSION	1	C	-0,72			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 13-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	13/09/24	13/09/2024 12:00:00
80240	202409	14/09/24	13	914	CIERRE FONDO INVERSION	1	C	-0,32			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 14-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	14/09/24	14/09/2024 12:00:00
80240	202409	14/09/24	13	914	CIERRE FONDO INVERSION	2	D	0,32			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 14-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	14/09/24	14/09/2024 12:00:00
80240	202409	15/09/24	14	914	CIERRE FONDO INVERSION	2	D	0,34			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 15-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	15/09/24	15/09/2024 12:00:00
80240	202409	15/09/24	14	914	CIERRE FONDO INVERSION	1	C	-0,34			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 15-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	15/09/24	15/09/2024 12:00:00
80240	202409	16/09/24	15	914	CIERRE FONDO INVERSION	2	D	0,69			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 16-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	16/09/24	16/09/2024 12:00:00
80240	202409	16/09/24	15	914	CIERRE FONDO INVERSION	1	C	-0,69			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 16-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	16/09/24	16/09/2024 12:00:00
80240	202409	17/09/24	16	914	CIERRE FONDO INVERSION	2	D	0,39			51080501001	POR DISMINUCION DEL VALOR RAZONABLE	Cierre de Fondo = 1 Fecha : 17-09-2024 Tpmv(86)-RENDIMIENTOS BRUTOS NEGATIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	17/09/24	17/09/2024 12:00:00
80240	202409	17/09/24	16	914	CIERRE FONDO INVERSION	1	C	-0,39			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 17-09-2024 Tpmv(86)-RENDIMIENTOS BRUTOS NEGATIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	17/09/24	17/09/2024 12:00:00
